math_skill,programming_skill,communication_skill,creativity,analytical_thinking,memory,attention_to_detail,teamwork,leadership,stress_tolerance,adaptability,curiosity,math_interest,physics_interest,chemistry_interest,biology_interest,it_interest,economics_interest,humanities_interest,art_interest,sports_interest,desired_salary,preferred_work_env,work_life_balance,chosen_field
4.8,4.3,3.7,4.6,4.5,2.8,5.0,3.8,2.5,3.5,2.5,2.5,4.6,1.1,1.3,2.4,4.3,3.3,1.4,1.4,4.5,169840.0664781059,3,3.613971681909324,Data Science
4.5,5.0,3.1,3.1,5.0,1.0,4.9,3.8,1.9,4.1,3.4,2.6,3.9,3.6,2.3,1.6,4.6,2.5,2.0,2.1,4.2,211427.9523599275,3,3.3626969318188653,Data Science
3.9,3.6,3.8,3.1,4.1,2.1,3.7,3.1,3.6,3.9,3.9,3.8,4.4,2.4,1.5,4.1,4.6,2.6,2.8,1.7,3.8,193345.2622948037,1,3.761476179176011,Data Science
4.5,4.6,3.8,3.0,4.3,2.8,3.8,3.2,2.9,5.0,2.0,2.2,4.7,3.9,5.0,4.6,5.0,3.3,2.6,1.8,2.7,113290.9088913489,2,3.316921987008787,Data Science
4.3,4.8,2.9,2.9,4.5,3.5,3.6,2.0,3.1,1.8,4.9,2.8,4.0,2.2,2.5,2.4,3.9,4.3,2.0,2.2,3.8,132542.79887399232,3,2.641974532451474,Data Science
3.9,4.5,2.9,3.0,4.6,3.5,4.2,2.4,2.6,3.3,3.0,3.8,3.9,2.2,3.8,2.2,5.0,4.4,3.0,1.7,3.1,157795.5383008503,2,4.2385300866735625,Data Science
5.0,4.6,2.3,3.0,5.0,3.6,3.9,2.7,2.9,3.6,4.2,3.1,5.0,3.9,3.2,1.6,4.3,3.7,1.0,2.3,4.0,186858.93880166666,3,2.5104394312975344,Data Science
3.7,4.7,3.4,3.7,4.7,2.3,4.4,3.3,2.3,4.9,3.5,1.8,4.8,2.0,3.8,4.2,4.4,4.0,2.3,2.7,4.9,168957.53477987082,3,2.8970110685140082,Data Science
4.8,3.7,3.2,3.8,4.5,3.9,5.0,1.7,3.9,3.4,3.0,1.4,5.0,3.4,1.2,2.8,4.8,3.5,1.9,2.4,5.0,249594.15399621788,1,3.3260344184767807,Medicine
4.2,4.1,2.5,1.9,4.5,4.1,4.1,3.6,1.9,1.7,2.2,2.0,3.9,3.4,4.8,2.3,4.0,3.7,1.0,1.5,3.5,172561.0673450897,2,2.9502598597339915,Data Science
